,judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
158,Sistem Peramalan Penjualan Menggunakan Metode Jaringan Syaraf Tiruan Dengan Algoritma Backpropagation,Penulis : Dimas Taufany Putra,Dosen Pembimbing I : Fika Hastarita,Dosen Pembimbing II :Bain Khusnul Khotimah,"Produk Olahraga merupakan salah satu bagian penting dalam organ-organ seorang atlit. Peningkatan jumlah penjualan produk yang tidak terduga menyebabkan kesulitan dalam pelayanan yang terbaik kepada konsumen. Demikian juga sebaliknya, apabila terjadi penurunan jumlah penjualan produk,maka akan menyebabkan inventorydi gudang. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan penjualan produk pada periode berikutnya. Sistem peramalan ini menggunakan metode Jaringan Syaraf Tiruan dengan algoritma Backpropagation dengan momentum untuk meramalkan jumlah penjualan produk pada bulan berikutnya. Data yang telah tersimpan dihitung menggunakan epoh dan learning rate yang berbeda. Dari hasil uji coba system, maka dapat disimpulkan bahwa dengan menggunakan semua data sebagai data training dan menggunakan learning rate 0.8 dan dengan epoh 18 akan menghasilkan tingkat kesalahan 56827.343. hasil ini menunjukkan hasil terbaik dari beberapa skenario ujicoba sistem, namum belum menunjukkan hasil terbaik dari skenario yang lain dengan meningkatkan epoch supaya mendapatkan hasil yang lebih baik. Kata kunci : Peramalan, Jaringan Syaraf Tiruan, Backpropagation, Momentum, Penjualan Produk Olahraga."
159,PENERAPAN EKSTRAKSI INFOMASI SIMPLE TREE MATCHING (STM) PADA WEB CRAWLER BAHASA INDONESIA,Penulis : Alfian Qomaruddin,Dosen Pembimbing I : Firdaus Solihin,Dosen Pembimbing II :Iwan Santosa,"Web crawler adalah salah satu bagian penting dari search engine. Web crawler bertugas mengambil informasi dari laman web yang dikunjunginya. Untuk mendapatkan konten khusus bahasa indonesia telah di desain dan diimplementasikan pada penelitan sebelumnya oleh Arifin. Dari hasil penelitian ini diperoleh web crawler yang mampu menghimpun website bahasa indonesia dengan data uji coba 1000 URL, diantaranya 500 website bahasa indonesia dan 500 website bahasa asing. Namun data yang tersimpan dari web crawler tersebut belum optimal, karena di dalam konten yang tersimpan masih terdapat beberapa bagian yang bukan sebuah informasi. Kekurangan pada pengambilan konten tersebut dicoba untuk diperbaiki dalam penelitian ini dengan menggunakan ekstraksi informasi(web data extraction) berbasis pencocokan pohon dengan menggunakan metode Simple Tree Matching(STM). Ekstraksi informasi adalah sebuah cara komputer dalam mengambil informasi pada suatu website. Simple Tree Matching adalah sebuah metode ekstraksi informasi yang melakukan pencocokan dua tree website pada proses ekstraksinya. Web crawler dengan metode STM dilakukan ujicoba kembali pada 50 website dari data penelitian sebelumnya dan didapatkan hasil konten yang lebih bersih dari implementasi sebelumnya. Dapat disimpulkan bahwa simple tree matching mampu dengan sempurna melakukan ekstraksi informasi pada web crawler. Dengan rata-rata nilai precision 100% dan recall 89.31365%."
160,PENGELOMPOKAN TINGKAT KESEHATAN MASYARAKAT KABUPATEN BANGKALAN MENGGUNAKAN METODE FUZZY C-MEANS BERBASIS SIG,Penulis : Sandra Lisa Sasmita,"Dosen Pembimbing I : Bain Khusnul Khotimah, ST.,M.Kom.","Dosen Pembimbing II :Andharini Dwi Cahyani, S.Kom.,M.Kom.","Sistem informasi kesehatan merupakan suatu pengelolaan informasi di seluruh tingkat pemerintah secara sistematis dalam rangka penyelengggaraan pelayanan kepada masyarakat. Penelitian ini dilakukan untuk mengembangkan model sistem informasi pengelompokan tingkat kesehatan masyarakat berdasarkan sistem informasi geografis (GIS) untuk mendukung rencana peningkatan kesehatan di Kabupaten Bangkalan. Dengan melakukan maping pengelompokan tingkat kesehatan masyarakat ke dalam beberapa cluster agar informasi yang disajikan lebih mudah dipahami dan lebih informatif. Dalam penelitian ini, teknik clustering digunakan untuk mengelompokan data-data kecamatan dengan beberapa latar belakang. Kecamatan yang memiliki atribut-atribut di cluster menjadi 4 cluster menggunakan metode Fuzzy C-means (FCM). Dalam mengelompokkan tingkat kesehatan masyarakat dengan menggunakan metode Fuzzy C-means (FCM), untuk mengkatagorikan tingkat kesehatan masyarakatnya, tentunya ada kriteria-kriteria kesehatan masyarakat yang memiliki nilai yang tidak pasti. Oleh karena itu, untuk mengelompokkan tingkat kesehatan masyarakat ke dalam beberapa cluster, perlu adanya analisa lebih lanjut pada cluster tersebut untuk mendapatkan hasil yang lebih sesuai. Data yang telah diolah tersebut disajikan dalam bentuk peta dengan daerah yang bergradasi warna sesuai wilayah."
161,IMPLEMENTASI PENJUALAN LAPTOP DENGAN SISTEM REKOMENDASI BERBASIS FUZZY ANALYTIC NETWORK PROCESS (FANP),Penulis : Rony Gunawan,"Dosen Pembimbing I : Rika Yunitarini, ST., MT.","Dosen Pembimbing II :Yeni Kustiyahningsih, M.Kom","Kegiatan yang dilakukan di toko surya yaitu transaksi penjualan barang kepada pembeli. Karena laptop banyak jenis dan merek, maka pihak toko sering membantu memilih laptop yang di inginkan pembeli supaya sesuai dengan yang di inginkan. Untuk menyelesaikan permasalahan di atas, pada penelitian ini dilakukan pendekatan Fuzzy Analytical Network Process (FANP) untuk memilih laptop yang sesuai dengan pembeli. Penggunaan fuzzy bertujuan untuk mengakomodasi sifat samar dalam pengambilan keputusan untuk memberikan pertimbangan yang dapat mengatasi ketidakpastian didalam kriteria-kriteria kualitatif. Metode FANP dapat digunakan untuk menyelesaikan permasalahan pengambilan keputusan yang terdapat hubungan saling mempengaruhi antar kriteria dalam suatu level tertentu. Kriteria yang dapat di pilih adalah Harga, Layar, Processor, Kapasitas memori, Type memori, Harddisk, Bluetooth, dan Webcam."
162,Rancang Bangun Sistem Pencarian Terdistribusi Pada E-jurnal Berbasis WeB Service Menggunakan Rest,Penulis : Eko Firmanto Abfiadin,"Dosen Pembimbing I : Hermawan S.T., M.Kom.","Dosen Pembimbing II :Andarini Dwi C S.Kom., M.Kom.","Pada era modern ini kebutuhan akan internet semakin tinggi mengikuti perkembangan zaman. Namun masih banyaknya ketidak akuratan data e-jurnal yang sesuai dengan keyword yang diinputkan oleh user mengindikasikan akan diperlukannya suatu pencarian terdistribusi pada e-jurnal sebagai sarana untuk mempermudah pencarian. Untuk itu dapat dikembangkan sistem pencarian berbasis web service menggunakan Representational State Transfer (REST) guna pengoptimalan layanan yang dibutuhkan. Web Service merupakan suatu sistem yang menyediakan pelayanan berupa XML dan digunakan untuk aplikasi sistem yang terdistribusi secara heterogen baik dari sistem operasi sampai model object. Web service mendefinisikan suatu fungsi tertentu yang dapat diakses oleh aplikasi yang lain melalui internet dengan menggunakan protokol-protokol yang menjadi standart internet. Berdasarkan dari hasil pengujian sistem, didapatkan nilai minimal cosine similarity terbaik dengan treshold 0,1. Dengan nilai presentase rata-rata precision 58,6 %, nilai presentase rata-rata recall nya mencapai 92,4 % dan nilai rata-rata presentase f-measure nya adalah 65,5 %. Hasil dari pengujian efektifitas sistem pada masyarakat, dapat dikatakan bahwa aplikasi ini sangat membantu dan cukup baik diterima oleh user, dengan presentase sangat baik 34,4 % , baik 56 %, cukup baik 9,6 % ."
163,SistemRekomendasi Kelayakan Kredit kepemilikan sepedaMotordenganMenggunakan MetodeFuzzy Analytical Hierarchy Process (FAHP) dan Multi-Attribute Utility Theory (MAUT),Penulis : Faisol Akbar Firdaus,"Dosen Pembimbing I : Bain Khusnul Khotimah, ST., M.Kom","Dosen Pembimbing II :Yeni Kustiyahningsih, M.Kom",Banyaknya masyarakat yang ingin memiliki sepeda motor tetapi tidak memiliki dana yang cukup untuk membeli sepeda motor secara tunai tentunya akan sangat membutuhkan suatu cara untuk memiliki sepeda motor tetapi dengan sistem pembayaran secara kredit. Dealer Yamaha TRISAKTI MOTOR Bangkalan yang bukan hanya menjual produknya secara cas/kontan tetapi mereka juga bergerak dibidang asuransi yang bertujuan sebagai salah satu bagian fokus bisnis dibidang sektor otomotif berninat melakukan pemberian kredit sepeda motor kepada konsumen melalui pemanfaatan dana dari bagian laba perusahaan. Padapenelitian ini akan diangkat suatu kasus yaitu mencari alternative terbaik berdasarkan kriteria - kriteria yang telah ditentukan dengan pendekatan metode Fuzzy Analytic Hierarchy Process (FAHP). Metode ini dipilih karena pengambilan keputusan dengan mempertimbangkan beberapa alternative dan criteria pada situasi yang bersifat Fuzzy. Perangking hasil pembobotan dari metode FAHP menggunakan metode Multi-Attribute Utility Theory (MAUT). Perangkingan melalui perbandingan berpasangan antara alternative pada kriteria yang sesuai untuk Menentukan kelayakan kredit sepeda motor. Sistem ini menggunakan bahasa pemrograman PHP dan aplikasi basis data yang digunakan padasistem informasi ini adalah MySQL. Dengan adanya aplikasi ini diharapkan dapat mengatasi kekurangan yang ada pada aplikasi terdahulu khususnya di dalam kemudahan pengubahan isi halaman website secara dinamis.
164,Desain game komputer adaptive testing untuk mempelajari matematika berbasis rpg,Penulis : kudsiyah,"Dosen Pembimbing I : Arik Kurniawati, S.Kom.,M.Kom","Dosen Pembimbing II :Ari Kusumaningsih, ST.,MT",perkembangan industri games semakin cepat dan tujuan pengembangannya pun tidak hanya untuk hiburan semata. kebanyakan anak-anak berpikir kalau pelajaran matematika
165,SISTEM PENDUKUNG KEPUTUSAN PENERIMAAN MAHASISWA BARU di STKIP PGRI BANGKALAN MENGGUNAKAN DECISION TREE C4.5,Penulis : ARYO ANDRI OKTARIO PRAMUDIA,"Dosen Pembimbing I : HERMAWAN, ST., M.KOM","Dosen Pembimbing II :BUDI DWI SATOTO., ST., M.KOM","Banyaknya calon mahasiswa baru yang mendaftar sebagai mahasiswa di STKIP PGRI Bangkalan membuat para panitia penerima mahasiswa baru kesulitan untuk menentukan peserta yang lulus dan diterima menjadi mahasiswa STKIP PGRI Bangkalan. Keputusan yang diambil secara konvensional selama ini dirasa kurang efektif dalam penentuan penerimaan mahasiswa baru, dibutuhkan suatu sistem yang dapat memberikan suatu pertimbangan dalam mengambil keputusan dalam hal penerimaan mahasiswa baru sehingga waktu yang dibutuhkan dalam penentuan penerimaan mahasiswa baru lebih efektif dan dengan hasil yang maksimal tentunya. Adapun penilaian calon mahasiswa baru didasarkan beberapa kriteria antara lain Nilai ujian nasional, nilai tes masuk STKIP PGRI Bangkalan, dan pendapatan orang tua. Dibutuhkan perangkat lunak pendukung keputusan untuk pengambilan keputusan dalam penerimaan mahsiswa baru untuk mendukung kinerja panitia penerimaan mahasiswa baru dengan metode pengambilan keputusan yang tepat dalam hal ini adalah algoritma Decision Tree C4.5. Perangkat lunak yang dibangun ditujukan untuk membantu pengambilan keputusan pemecahan masalah multikriteria dalam kasus penerimaan mahasiswa baru di STKIP PGRI Bangkalan - Bangkalan Madura. Berdasarkan analisa pada penelitian ini diperoleh hasil bahwa sebanyak 165 mahasiswa baru dinyatakan lulus dengan nilai Unas >20, 10 mahasiswa dinyatakan lulus dengan perhitungan nilai ujian masuk > 20 dan 25 mahasiswa dinyatakan tidak lulus untuk atribut nilai ujian masuk <20"
166,SISTEM PENDUKUNG KEPUTUSAN PENENTUAN BANTUAN STIMULAN PERUMAHAN SWADAYA MENGGUNAKAN METODE SMARTER,Penulis : RYNA SELVIA PUTRI,"Dosen Pembimbing I : MULAAB, S.Si.,M.Kom","Dosen Pembimbing II :FIKA HASTARITA R, ST,M,Eng","Perkembangan di zaman era globalisasi ini ternyata tidak dapat melepaskan sebagian besar masyarakat di Indonesia untuk lepas dari masalah kemiskinan dan berkaitan dengan perumahan dan permukiman yang merupakan hak dasar bagi setiap Warga negara Indonesia. Untuk mendukung pemenuhan kebutuhan RTLH, Kemenpera melalui Deputi Bidang Perumahan memiliki program BANTUAN STIMULAN PERUMAHAN SWADAYA (BSPS) bagi masyarakat berpenghasilan rendah. Pada tugas akhir ini, diperlukan suatu sistem yang dapat membantu dalam menentukan bantuan RTLH untuk masyarakat yang benar-benar tidak mampu, dalam system pendukung keputusan menggunakan metode SMARTER mampu menganalisa kriteria yang pada akhirnya dapat menentukan penduduk mana yang lebih layak menerima BSPS. Akan tetapi dalam metode SMARTER mempunyai sebuah kelemahan untuk penentuan bobot criteria tidak dapat dirubah. Dan hasil dari perhitungan yang berupa perangkingan dari metode SMARTER tersebut kemudian akan dipetakan dengan menggunakan Sistem Informasi Geografis (SIG). Penyajian data penduduk menggunakan Google Maps dapat membantu menentukan letak posisi rumah penduduk dari hasil perangkingan yang layak menerima BSPS. Hasil pemetaan akan tampak masing-masing dari prioritas perangkingan tersebut. Pada hasil penelitian yang telah dilakukan dalam penentuan BSPS, system memiliki tingkat kesesuaian sebesar 78% jika dibandingkan dengan data real tahun 2013. Kata Kunci:BSPS, Kemiskinan, Sistem Pendukung Keputusan (SPK), SMARTER, Sistem Informasi Geografis (SIG)."
167,Aplikasi Multimedia Pengenalan Sandi Bendera Semaphore Pramuka Berbasis Game Android,Penulis : ARDHANI ALFARISI AHMAD,Dosen Pembimbing I : CUCUN VERY ANGKOSO,Dosen Pembimbing II :ARIK KURNIAWATI,"Visualisasi animasi meberikan informasi yang lebih interaktif dan menarik. Dalam penelitian ini telah dilakukan pemanfaatan teknologi mobile smartphone android untuk pengenalan materi gerakan pramuka khususnya pada gerakan kode bendera semaphore yang dikemas dalam animasi mobile android, pada penelitian ini dimanfaatkan adobe AIR macromedia flash yang mampu menjalankan aplikasinya di platform android. Aplikasi multimedia pengenalan semaphore flag signaling pramuka berbasis OS android ini memberikan kemudahan dalam penggunaan dan pemahaman tentang materi sandi semaphore. Terdapat step by step pengenalan sandi semaphore yang bisa dilihat secara berurutan, serta terdapat bagian praktek, dimana user hanya mengetikkan kata dalam textbox maka secara otomatis animasi akan bergerak menunjukkan sandi – sandi semaphore yang telah diketikkan dalam textbox tersebut. Dan aplikasi ini juga dilengkapi fitur pertanyaan atau tes, dimana setelah memahami pengenalan sandi semaphore, user juga disuguhi materi tes pertanyaan dari gerakan – gerakan animasi tersebut, sehingga bisa diketahui bagaimana pemahaman mereka tentang materi yang telah disajikan dalam bentuk mobile android ini. Dengan demikian, aplikasi ini dapat memudahkan anggota pramuka dalam dalam memahami materi kode bendera semaphore pramuka. Kata kunci: Aplikasi Multimedia, Semaphore Flag, Pramuka, OS Android"
168,IMPLEMENTASI LATENT SEMANTIC ANALYSIS UNTUK SISTEM PENILAIAN ESAI OTOMATIS MATA PELAJARAN BIOLOGI,Penulis : Aulia Aprilyana,"Dosen Pembimbing I : Mula'ab Mulyo, S.Si., M.Kom.","Dosen Pembimbing II :Fika Hastarita Rachman, S.T., M.Eng.","Tes merupakan prosedur yang digunakan untuk penilaian. Pada tespilihan ganda, jawaban telah tersedia. Peserta tes dapat memperkirakan jawaban apabila belum menguasai bahan yang diteskan. Kelemahan ini dapat diatasi dengan menggunakan tes esai. Tes esai juga mempunyai kelemahan yaitu sulit dinilai secara objektif dan membutuhkan waktu yang lama.Dalam penelitian ini dibuat sebuah sistem penilaian esai otomatis untuk mata pelajaran biologi pada SMAN Ploso. Sistem ini menggunakan metode latent semantic analysis (LSA). Pada preprocessing, dilakukan pengecekan sinonim, penghapusan stopword, stemming ECSP dan pembobotan tf*idf. Penilaian dilakukan dengan mengukur nilai similarity antara jawaban siswa dan kunci jawaban dari guru. Deteksi kemungkinan mencontek pada sepasang siswa yaitu apabila 90% dari soal yang mempunyai nilai similarity lebih dari 0,9. Pengujian keakuratan sistem dilakukan dengan cara membandigkan hasil penilaian dari sistem dengan hasil penilaian yang dilakukan guru secara manual. Sistem ini dapat membantu guru SMAN Ploso Jombang untuk mengoreksi jawaban dari soal esai mata pelajaran biologi. Sistem ini mempunyai nilai RMSE sebesar 5,5. Nilai RMSE paling tinggi adalah pada soal yang membutuhkan jawaban urutan. Kemungkinan mencontek siswa SMAN Ploso pada ujian tulang sebesar 3,85%. Kata Kunci:Penilaian esai, latent semantic analysis, ECSP, tf*idf, RMSE"
169,SISTEM PENILAIAN ESAI OTOMATIS PADA E-LEARNING DENGAN ALGORITMA WINNOWING,Penulis : Sariyanti Astutik,"Dosen Pembimbing I : Andharini Dwi Cahyani, S.Kom., M.Kom","Dosen Pembimbing II :Mochammad Kautsar Sophan, S.Kom., M.MT","Ujian esai merupakan evaluasi pembelajaran dalam bentuk soal esai yang mempunyai jawaban lebih bervariasi dibandingkan soal pilihan ganda. Variasi jawaban tersebut memberikan kesulitan tersendiri bagi guru dalam menilai jawaban. Sistem penilaian esai dibangun untuk menjadi salah satu solusi yang dapat mempercepat dan mempermudah proses penilaian. Sistem penilaian esai pada penelitian ini dilakukan dengan mengukur kesamaan jawaban siswa dan kunci jawaban guru. Penelitian ini menggunakan algoritma winnowing. Algoritma winnowingadalah algoritma untuk mengukur kemiripan teks. Algoritma winnowing menghasilkan fingerprint yang akan mewakili teks jawaban pada perhitungan kemiripan dengan persamaan jaccard coeficient. Pengujian dilakukan untuk mengetahui kemampuan algoritma winnowing dalam memberikan penilaian esai dengan menggunakan perubahan nilai n-gram dan window dari algoritma winnowing. Hasil pengujian menunjukkanpenggunaan nilai n-gram dan window pada metode winnowing berpengaruh pada kesamaan fingerprint yang ditemukan. Semakin banyak kesamaan fingerprint yang ditemukan, maka semakin tinggi nilai yang dihasilkan sistem. Akurasi penilaian sistem menunjukkan hasil yang lebih baik pada teks jawaban yang memiliki struktur kalimat jawaban yang sama dengan kunci jawaban."
170,APLIKASI BELAJAR MENULIS ALPHANUMERIK UNTUK ANAK USIA PRA-SEKOLAH BERBASIS ANDROID,Penulis : Darmawan Aditama,"Dosen Pembimbing I : Yonathan Ferry Hendrawan, S.T., M.I.T","Dosen Pembimbing II :Muhammad Fuad, S.Kom., M.T","Kemampuan menulis Alphanumerik merupakan bekal utama bagi anak untuk dapat memahami mata pelajaran yang diberikan di sekolah. Salah satu alternatif untuk membantu meningkatkan minat dan kemampuan anak dalam belajar menulis Alphanumerik adalah dengan menggunakan media pembelajaran berupa perangkat lunak (software). Penelitian tugas akhir ini adalah membuat sebuah aplikasi yang menyajikan pembelajaran menulis Alphanumerik yang sengaja dikemas dalam bentuk permainan supaya dapat meningkatkan minat belajar anak usia pra-sekolah. Aplikasi pembelajaran ini dibagi menjadi dua, yaitu pengenalan pola dan pengenalan karakter. Untuk pengenalan pola dibuat dengan mengikuti jalur yang ada pada gambar yang diwakili oleh gambar bola sebagai dasar dari tiap sudut Alphanumerik. Garis dibuat dengan menggeser jari pada layar handphone dari satu titik ke titik yang lain yang menghubungkan setiap sudut Alphanumerik. Cara menulis ini dibuat sesuai dengan kaedah penulisan Alphanumerik yang ada di pendidikan menulis usia dini. Sedangkan dalam pengenalan karakter, aplikasi merekam tulisan tangan Alphanumerik yang telah dibuat oleh pengguna pada tempat yang disediakan. Dari tulisan tangan tersebut kemudian akan diproses pada tahapan pengolahan citra. Citra gambar tersebut dibandingkan dengan database yang ada pada aplikasi dengan bantuan Library Tesseract sebagai mesin perbandingannya. Dari hasil uji coba, anak-anak pra-sekolah mudah mengoprasikan aplikasi ini."
171,SISTEM PAKAR DIAGNOSA PENYAKIT GAGAL JANTUNG MENGGUNAKAN METODE BAYESIAN NETWORK,Penulis : M. Khoirul Mahmudi,"Dosen Pembimbing I : Mula'ab, S.Si., M.Kom.","Dosen Pembimbing II :Firli Irhamni, ST., M.Kom.","Penyakit Gagal jantung adalah pembunuh nomer satu pada negara yang sedang berkembang. Seperti halnya di Indonesia dan negara-negara asia pada umumnya, di Amerika pun penyakit jantung pernah menjadi pembunuh nomer satu. Di seluruh dunia, jumlah penderita penyakit ini terus bertambah. Ketiga kategori penyakit ini tidak lepas dari gaya hidup yang kurang sehat yang banyak dilakukan seiring dengan berubahnya pola hidup. Faktor-faktor pemicu serangan jantung ialah rokok, mengonsumsi makanan berkolest erol tinggi, kurang gerak, malas berolahraga, stres, dan kurang istirahat.Seiring kemajuan teknologi dibuatlah sistem yang bisa mendiagnosa penyakit-penyakit tersebut. Sistem ini yang nanti akan menggantikan pakar aslinya dalam penentuan diagnosa penyakit. Sehingga dengan sistem ini nanti diharapkan pasien bisa mendapatkan pelayanan lebih cepat dan akurat. Sistem pakar ini menggunakan metode Bayesian Network sebagai acuannya. Dalam metode ini menggunakan struktur gejala yang saling berkaitan untuk mendiagnosa penyakit. Struktur tersebut ditentukan oleh seorang pakar dibidang jantung. Kemudian ditentukan nilai probabilitas dari setiap gejala berdasarkan keterkaitan antara gejala. Setelah didapatkan semua baru semua nilai dibandingkan dan diambil nilai terbaik sebagai hasil diagnosa. Dalam pengaplikasiannya sistem ini memiliki akurasi sampai lebih dari 80%."
172,PENERAPAN FUZZY DECISION TREE PADA SELEKSI PENERIMAAN BEASISWA DIPA DENGAN ALGORITMA ITERATIVE DICHOTOMIZER 3,Penulis : Ayu Noer Aisyah,"Dosen Pembimbing I : Bain Khusnul K., S.T., M.Kom","Dosen Pembimbing II :Andharini Dwi Cahyani, S.Kom., M.Kom","Beasiswa DIPA merupakan pemberian berupa bantuan keuangan yang diberikan kepada perorangan yang bertujuan untuk digunakan demi keberlangsungan pendidikan yang ditempuh. Mengingat besarnya dana dan tujuan utama berupa 3T (Tepat Sasaran,Tepat Jumlah,dan tepat Waktu) dibutuhkan sebuah sistem untuk menetapkan penerima beasiswa. Penelitian ini menerapkan pemodelan Fuzzy Decision Tree (FDT) pada seleksi penerimaan beasiswa DIPA dengan algoritma ID3. Metode ini dipilih memberikan data yang lengkap karena pada proses perhitungan dilakukan pencarian secara menyeluruh untuk semua kemungkinan yang. Penelitian ini melakukan pemodelan penerima beasiswa sebanyak 200 data mahasiswa yaitu PPA dan BBM. Pada data PPA yang menggunakan 50 data training dengan threshold 70%, 80% dan 90% menghasilkan akurasi yang baik yaitu 86%.Ketika menggunakan 70 data training, memperoleh hasil akurasi 70%.Sedangkan untuk data BBM, dengan 50 data training menggunakan trheshold 70%, 80% dan 90% menghasilkan akurasi yang baik yaitu 97%.Ketika 70 data training, menghasilkan akurasi 73%. Hasil yang diperoleh bergantung pada data dan threshold yang digunakan. Semakin tinggi threshold yang digunakan maka semakin banyak rule yang dihasilkan. Namun semakin banyak data yang digunakan maka semakin rendah hasil akurasi yang diperoleh. Akurasi terbaik terdapat pada penggunaan 50 data dan threshold 90% yang menghasilkan akurasi sebesar 90% untuk PPA dan 97% untuk BBM. Kata Kunci: Rule, Threshold, Fuzzy Decision Tree ID3"
173,IDENTIFIKASI GAYA KOGNITIF BERBASIS MYERS BRIGGS TYPE INDICATOR (MBTI) DENGAN MENGAMATI PERILAKU BROWSING SISWA,Penulis : Megawati Pratiwi Rifai,"Dosen Pembimbing I : Andharini Dwi C., S.Kom.,M.Kom.","Dosen Pembimbing II :Bain Khusnul K., S.T.,M.Kom","E-learning merupakan pengaruh proses transformasi pendidikan konvensional ke dalam bentuk digital, baik secara isi dan sistemnya. Pengguna sistem tersebut adalah siswa. Konsep belajar setiap siswa berbeda antara satu dengan yang lainnya baik dari segi tingkat pemahaman dan cara memproses pengetahuan mereka. Oleh karena itu, diperlukannya mengidentifikasi gaya kognitif berbasis Myers Briggs Type Indicator (MBTI) dengan mengamati perilaku browsing siswa melalui metode Neural Network (NN). Metode ini diadopsi karena mampu mengorganisasi dirinya sendiri dalam mengklasifikasi data yang diberikan selama masa training dan data yang dihasilkan bersifat akurat walaupun dalam proses lama. Pengumpulan data yang digunakan dengan melakukan pengamatan perilaku browsing siswa yang nantinya akan diproses menggunakan algoritma Backpropagation. Kemudian data akan dibandingkan dengan hasil kuisioner MBTI yang telah dikumpulkan sebelumnya. Data yang digunakan adalah 250 data siswa. Hasil yang diperoleh tergantung dari penggunaan batas MSE dan iterasi. Semakin rendah penggunaan batas MSE, maka semakin tinggi pula nilai akurasi yang diperoleh. Semakin tinggi batas iterasi yang digunakan, maka nilai akurasi yang diperoleh stabil atau tetap. Hasil akurasi terbaik diperoleh ketika MSE 0.001 dengan batas iterasi berkisar 500-1000 iterasi menghasilkan akurasi 90%. Hasil gaya kognitif yang diperoleh tersebut akan menjadi suatu acuan bagi guru untuk strategi pembelajaran berikutnya sesuai gaya kognitif siswa. Kata kunci : Gaya Kognitif, MBTI, Backpropagation"
174,Sistem Pakar Diagnosa Penyakit Gagal Jantung Menggunakan Metode Radial Basis Function,Penulis : Shofiyan Yulis Ekasaputra,"Dosen Pembimbing I : Mulaab, S.Si., M.Kom.","Dosen Pembimbing II :Firli Irhamni, ST., M.Kom","Penyakit gagal jantung merupakan salah satu darimacam-macam penyakit jantung, pada penderita gagal jantung, detakanjantungnya tidak berjalan secara normal, dalam melakukan aktivitas normal penderita cenderung mudah lelah, Penyebabnya adalah rusaknya otot jantung serta karena adanya beban jantung yang berlebihan, pada saat ini penderita penyakit gagal jantung tiap tahunnya semakin meningkat, dan lebih cenderung mengenai laki-laki daripada perempuan. Oleh karena itu, perkembangan teknologi informasi dan komunikasi menjadi media utama untuk menjembatani permasalahan tersebut. Di bidang medis, peranan teknologi informasi dan komunikasi dikemas dalam suatu wadah informatika medis, sehingga dibuatlah sebuah sistem pakar penyakit gagal jantung yang nantinya diharapkan bisa bermanfaat untuk mengetahui lebih dini penyakit gagal jantung, sehingga dapat ditangani lebih cepat dan mengurangi resiko meninggal dunia, dalam hal ini aplikasi untuk mendiagnosa penyakit gagal jantung menggunakan metode Radial Basis Function, dengan penentuan hidden node menggunakan K-Means Cluster, metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, fungsi aktivasi yang digunakan pada penelitian ini hanya menggunakan fungsi aktivasigaussian, inputan terdiri dari 16 variabel, berdasarkan keluhan dan gejala-gejala yang dialami oleh pasien, data training dan data testing yang digunakan berasal dari rekammedik Rumah Sakit Umum DaerahSidoarjo. Kata Kunci : Radial Basis Function, K-Means, Gaussian"
175,GPS TRACKING UNTUK MENEMUKAN LOKASI PUSKESMAS KELILING BERBASIS MOBILE ANDROID,Penulis : Fitanul Fitriyah,"Dosen Pembimbing I : Dwi Kuswanto S.Pd,.M.T","Dosen Pembimbing II :Aery Rachmad S.T,.MT","Mobil keliling merupakan suatu program pemerintah yang banyak digunakan saat ini, salah satunya adalah puskesmas keliling. Puskesmas keliling tersebut diperuntukan untuk pelayanan kesehatan masyarakat yang lebih baik lagi. Objek yang berupa mobil sering berpindah-pindah tempat sehingga masyarakat yang ingin menggunakan jasa puskesmas keliling tersebut harus mencari objek dan tempat dimana mobil tersebut berada. Objek dan tempat tempat yang belum diketahui, menjadi kendala untuk menemukan objek atau tempat yang dicari. Namun permasalahannya adalah, ketika puskesmas ingin melakukan share lokasi, mereka harus terhubung dengan internet, sehingga jika tidak memiliki koneksi internet tidak dapat melakukan share lokasi dimana puskesmas keliling berada. Dalam tugas akhir ini, dibuat sebuah sistem share data lokasi, dimana sisi client akan mendapatkan titik lokasi objek tanpa koneksi internet. share lokasi ini memanfaatkan layanan SMS yang lebih umum tersedia dibandingkan internet. Dengan menggunakan dua aplikasi yang berperan sebagai Server dan Client, sistem ini memiliki dua fungsi utama, yaitu fungsi pelacakan dengan GPS Tracking pada aplikasi Server, dan fungsi untuk menampilkan peta dengan memanfaatkan Google Maps pada aplikasi Client. Aplikasi ini dipasang dalam smartphone yang berbasis android. Dengan kemanfaatan rata-rata 62,33 % dan tampilan rata-rata 57,66 %. Keywords: GPS Tracking, Google Maps, Server, Client, Android"
